50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
1	2	4	3	98.598	-7.14	0.0200101	19.4897	1921.65
2	3	5	4	103.706	-6.43	0.0200093	19.5546	2027.93
3	4	6	5	86.445	-6.42	0.0200111	19.7817	1710.03
4	5	7	6	51.656	-9.33	0.0200174	18.8222	972.278
5	6	8	7	38.58	-7.99	0.0200222	17.7253	683.84
6	7	9	8	31.676	-5.86	0.0200283	19.572	619.961
7	8	10	9	91.383	-7.9	0.020011	19.2949	1763.23
8	9	11	10	87.266	-6.27	0.0200117	18.988	1657.01
9	10	12	11	91.175	-8.84	0.0200114	19.1462	1745.65
10	11	13	12	91.159	-6.95	0.0200118	18.7237	1706.84
11	12	14	13	118.006	-7.08	0.0200094	18.8301	2222.06
12	13	15	14	80.138	-5.85	0.0200121	20.0586	1607.45
13	14	16	15	112.567	-8.39	0.0200093	18.2025	2049
14	15	17	16	97.821	-8.68	0.0200117	19.6545	1922.62
15	16	18	17	123.003	-9.31	0.0200084	18.3828	2261.14
16	17	19	18	134.07	-7.91	0.0200091	18.8286	2524.36
17	18	20	19	118.663	-7.92	0.0200097	20.2701	2405.31
18	19	21	20	110.29	-7.6	0.0200107	18.3173	2020.22
19	20	22	21	116.04	-8.78	0.0200096	17.2824	2005.45
20	21	23	22	76.459	-7.64	0.020015	18.9626	1449.87
21	22	24	23	104.23	-7.84	0.0200114	21.2428	2214.13
22	23	25	24	78.286	-7.24	0.020015	19.6516	1538.45
23	24	26	25	122.643	-9.04	0.0200103	18.6559	2288.01
24	25	27	26	102.147	-7.22	0.0200113	18.4255	1882.11
25	26	28	27	156.654	-11.19	0.0200085	18.8423	2951.73
26	27	29	28	123.59	-8.74	0.0200107	19.9828	2469.68
27	28	30	29	126.344	-11.52	0.0200098	19.3933	2450.23
28	29	31	30	112.787	-11.25	0.0200109	18.3405	2068.57
29	30	32	31	94.709	-8.85	0.0200119	19.9388	1888.39
30	31	33	32	81.745	-8.2	0.020013	18.0592	1476.25
31	32	34	33	73.792	-7.03	0.0200147	18.8302	1389.51
32	33	35	34	62.199	-6.33	0.0200171	20.0747	1248.63
33	34	36	35	87.522	-9.05	0.0200121	18.3368	1604.87
34	35	37	36	96.196	-9.25	0.0200134	19.1405	1841.24
35	36	38	37	55.547	-9.39	0.020021	19.8855	1104.58
36	37	39	38	63.119	-10.05	0.0200187	19.2432	1214.61
37	38	40	39	73.599	-9.68	0.0200164	19.4282	1429.9
38	39	41	40	62.988	-7.29	0.0200184	19.0734	1201.39
39	40	42	41	54.724	-9.42	0.0200203	18.9059	1034.61
40	41	43	42	52.227	-5.95	0.0200201	19.6492	1026.22
41	42	44	43	43.544	-6.34	0.0200262	19.3419	842.223
42	43	45	44	42.268	-5.59	0.0200256	18.8629	797.296
43	44	46	45	42.117	-6.77	0.0200256	18.9774	799.271
44	45	47	46	34.984	-5.84	0.0200258	20.4911	716.862
45	46	48	47	29.22	-2.25	0.0200328	18.4756	539.858
46	47	49	48	33.432	-8.38	0.0200284	18.8189	629.152
47	48	50	49	37.503	-7.46	0.0200231	19.4429	729.169
1	3	7	5	29.057	-6.41	0.0200302	41.2338	1198.13
2	4	8	6	26.483	-9.31	0.020034	39.6893	1051.09
3	5	9	7	40.559	-6.87	0.0200232	35.2313	1428.94
4	6	10	8	44.049	-5.56	0.0200213	35.295	1554.71
5	7	11	9	29.451	-7.67	0.0200316	38.1621	1123.91
6	8	12	10	38.078	-8.13	0.0200244	38.2234	1455.47
7	9	13	11	44.791	-7.04	0.0200201	37.8021	1693.19
8	10	14	12	43.016	-7.67	0.0200215	37.0855	1595.27
9	11	15	13	41.886	-8.43	0.0200232	36.7558	1539.55
10	12	16	14	39.276	-8.6	0.0200244	38.5365	1513.56
11	13	17	15	32.198	-7.84	0.0200277	38.0366	1224.7
12	14	18	16	35.449	-7.88	0.0200273	36.8378	1305.86
13	15	19	17	35.967	-7.81	0.020026	38.1369	1371.67
14	16	20	18	44.271	-7.86	0.0200223	38.0523	1684.61
15	17	21	19	33.191	-6.91	0.0200309	41.3243	1371.59
16	18	22	20	34.284	-7.39	0.0200284	38.4701	1318.91
17	19	23	21	33.95	-7.26	0.0200308	31.689	1075.84
18	20	24	22	24.826	-8.47	0.0200411	32.247	800.565
19	21	25	23	27.941	-8.12	0.0200383	41.8975	1170.66
20	22	26	24	32.122	-7.74	0.020034	45.4705	1460.6
21	23	27	25	28.898	-8.39	0.0200364	40.1251	1159.54
22	24	28	26	32.959	-8.97	0.0200307	35.2891	1163.09
23	25	29	27	41.424	-10.48	0.0200255	35.268	1460.94
24	26	30	28	47.259	-9.27	0.0200243	39.0676	1846.29
25	27	31	29	46.273	-8.12	0.0200233	41.0141	1897.85
26	28	32	30	40.119	-9.03	0.0200265	38.2639	1535.11
27	29	33	31	37.484	-10.27	0.0200273	37.9982	1424.32
28	30	34	32	32.669	-10.19	0.0200283	37.107	1212.25
29	31	35	33	28.386	-7.77	0.0200344	35.1079	996.574
30	32	36	34	23.247	-6.23	0.0200447	37.7517	877.614
31	33	37	35	24.962	-8.26	0.0200387	37.741	942.09
32	34	38	36	29.976	-10.17	0.0200333	36.6457	1098.49
33	35	39	37	24.622	-10.12	0.0200422	39.1332	963.536
34	36	40	38	19.455	-10.17	0.0200505	40.1907	781.911
35	37	41	39	16.271	-9.66	0.0200576	38.9924	634.445
36	38	42	40	14.353	-8.86	0.0200666	37.6275	540.067
37	39	43	41	11.765	-7.83	0.0200773	36.8525	433.57
38	40	44	42	11.128	-6.85	0.0200735	38.3305	426.542
39	41	45	43	9.444	-7.7	0.0200932	38.8612	367.005
40	42	46	44	9.588	-7.67	0.0200944	36.9847	354.609
41	43	47	45	10.49	-7.12	0.020084	36.7617	385.63
42	44	48	46	8.055	-6.63	0.0201032	39.729	320.017
43	45	49	47	6.986	-6.02	0.0201252	38.079	266.02
44	46	50	48	8.628	-2.05	0.0201085	34.5299	297.924
1	4	10	7	25.263	-9.57	0.0200371	57.7962	1460.11
2	5	11	8	34.132	-6.7	0.0200281	53.8762	1838.9
3	6	12	9	31.313	-7.67	0.0200304	53.9967	1690.8
4	7	13	10	19.974	-7.93	0.020045	56.3676	1125.89
5	8	14	11	21.941	-8.68	0.0200401	56.9222	1248.93
6	9	15	12	20.681	-7.68	0.020041	56.1564	1161.37
7	10	16	13	21.436	-9.07	0.0200413	55.0871	1180.85
8	11	17	14	17.696	-10.06	0.0200506	56.3143	996.537
9	12	18	15	17.401	-10.61	0.0200523	57.0185	992.179
10	13	19	16	13.675	-8.39	0.0200652	58.2143	796.08
11	14	20	17	14.524	-7.32	0.0200605	58.0274	842.789
12	15	21	18	13.748	-6.54	0.0200668	60.4744	831.401
13	16	22	19	12.603	-6.62	0.0200714	61.0698	769.662
14	17	23	20	11.208	-6.28	0.0200816	56.9715	638.536
15	18	24	21	11.666	-6.82	0.020078	49.6	578.633
16	19	25	22	9.237	-8.02	0.0201045	46.861	432.855
17	20	26	23	9.856	-9.11	0.020099	54.564	537.783
18	21	27	24	9.477	-8.77	0.0201048	65.391	619.711
19	22	28	25	11.438	-9.42	0.0200868	67.141	767.958
20	23	29	26	9.911	-9.99	0.0200926	58.6019	580.804
21	24	30	27	13.811	-11.91	0.0200687	53.5354	739.377
22	25	31	28	14.937	-10.42	0.0200646	55.1082	823.151
23	26	32	29	17.48	-9.21	0.0200556	59.7876	1045.09
24	27	33	30	15.457	-7.44	0.0200617	60.6365	937.258
25	28	34	31	14.871	-11.15	0.0200624	58.768	873.94
26	29	35	32	14.559	-10.22	0.0200625	55.0542	801.534
27	30	36	33	14.154	-9.3	0.0200645	53.5402	757.808
28	31	37	34	12.404	-9.86	0.0200789	53.0561	658.108
29	32	38	35	11.489	-8.51	0.0200839	54.3529	624.461
30	33	39	36	10.683	-9.26	0.0200891	55.8306	596.438
31	34	40	37	9.885	-10.6	0.0200915	57.8556	571.903
32	35	41	38	9.587	-9.92	0.0200966	60.4598	579.629
33	36	42	39	7.203	-9.61	0.0201229	60.6308	436.724
34	37	43	40	5.5	-9.06	0.0201587	58.4853	321.669
35	38	44	41	4.657	-8.63	0.0201882	56.8277	264.647
36	39	45	42	4.294	-7.41	0.0201945	56.9204	244.416
37	40	46	43	3.993	-7.74	0.0202146	56.966	227.465
38	41	47	44	4.111	-6.99	0.0202107	56.6627	232.941
39	42	48	45	4.317	-7.24	0.0202044	56.0763	242.081
40	43	49	46	4.229	-6.65	0.0202035	57.6134	243.647
41	44	50	47	4.283	-6.86	0.0202136	56.3017	241.14
1	5	13	9	22.037	-9.7	0.0200436	73.8986	1628.5
2	6	14	10	18.349	-9.82	0.0200499	72.1833	1324.49
3	7	15	11	13.262	-9.59	0.0200669	74.3204	985.637
4	8	16	12	12.261	-10.51	0.0200699	73.7078	903.732
5	9	17	13	11.432	-10.33	0.0200743	73.5541	840.871
6	10	18	14	10.104	-11.88	0.0200855	75.4482	762.329
7	11	19	15	9.438	-11.37	0.0200942	75.1184	708.968
8	12	20	16	8.53	-11.14	0.0201084	78.7812	672.004
9	13	21	17	6.958	-9.75	0.0201242	81.5985	567.762
10	14	22	18	6.945	-8.82	0.0201308	80.8826	561.729
11	15	23	19	5.436	-7.57	0.0201645	81.7902	444.612
12	16	24	20	5.504	-7.47	0.0201574	75.0927	413.31
